source_id,lane_id,author,year,title,source_type,publisher_or_venue,url,verification_status,reading_status,relation_to_framework,claim_or_requirement_ids
L01-003,L01,Robert Powell,1990,Nuclear Deterrence Theory: The Search for Credibility,Book,Cambridge University Press,https://www.cambridge.org/core/books/nuclear-deterrence-theory/302A7E1D7D003FFD8EB335EDD27B059E,verified_official_metadata,metadata_coded,antecedent;contradiction,OA-002;OA-010
L01-004,L01,Keir A. Lieber and Daryl G. Press,2017,The New Era of Counterforce: Technological Change and the Future of Nuclear Deterrence,Journal article,International Security,https://direct.mit.edu/isec/article/41/4/9/12133/The-New-Era-of-Counterforce-Technological-Change,verified_official_metadata,abstract_coded,boundary;contradiction,OA-002;OA-010
L01-005,L01,James M. Acton,2018,Escalation through Entanglement: How the Vulnerability of Command-and-Control Systems Raises the Risks of an Inadvertent Nuclear War,Journal article,International Security,https://direct.mit.edu/isec/article/43/1/56/12221/Escalation-through-Entanglement-How-the,verified_official_metadata,abstract_coded,support;boundary,OA-002;OA-011
L02-001,L02,Scott D. Sagan,1996,Why Do States Build Nuclear Weapons? Three Models in Search of a Bomb,Journal article,International Security,https://direct.mit.edu/isec/article/21/3/54/11555/Why-Do-States-Build-Nuclear-Weapons-Three-Models,verified_official_metadata,abstract_coded,antecedent;contradiction,OA-003;OA-007;OA-010
L02-002,L02,Jacques E. C. Hymans,2006,"The Psychology of Nuclear Proliferation: Identity, Emotions and Foreign Policy",Book,Cambridge University Press,https://www.wcfia.harvard.edu/publications/psychology-nuclear-proliferation-identity-emotions-and-foreign-policy,verified_institutional_summary,official_summary_coded,contradiction;boundary,OA-003;OA-010
L02-003,L02,Etel Solingen,2007,Nuclear Logics: Contrasting Paths in East Asia and the Middle East,Book,Princeton University Press,https://global.ucla.edu/burkle/person/676,verified_author_metadata,summary_coded,antecedent;support,OA-003;OA-007;XR-015
L03-001,L03,Vipin Narang,2022,Seeking the Bomb: Strategies of Nuclear Proliferation,Book,Princeton University Press,https://academic.oup.com/princeton-scholarship-online/book/44351/chapter-abstract/373056710,verified_official_metadata,contents_and_summary_coded,antecedent;support,OA-001;OA-002;OA-008;OA-009
L03-002,L03,Vipin Narang,2014,Nuclear Strategy in the Modern Era: Regional Powers and International Conflict,Book,Princeton University Press,,bibliographic_seed,metadata_only,boundary;case,OA-002;OA-010;XR-015
L03-003,L03,Mark Fitzpatrick,2007,"Nuclear Black Markets: Pakistan, A.Q. Khan and the Rise of Proliferation Networks",Book/Report,International Institute for Strategic Studies,,bibliographic_seed,metadata_only,antecedent;boundary,OA-001;OA-002;OA-008
L04-001,L04,Matthew Fuhrmann,2024,Influence without Arms: The New Logic of Nuclear Deterrence,Book,Cambridge University Press,https://www.cambridge.org/core/books/influence-without-arms/frontmatter/98B4B4652DA17C6B142F528DDD5348D7,verified_official_metadata,contents_and_summary_coded,antecedent;contradiction,OA-002;OA-009;OA-010
L04-002,L04,Tristan A. Volpe,2023,Leveraging Latency: How the Weak Compel the Strong with Nuclear Technology,Book,Oxford University Press,https://academic.oup.com/book/45573,verified_official_summary,abstract_coded,antecedent;contradiction,OA-002;OA-003;OA-009
L04-003,L04,Ariel E. Levite,2002,Never Say Never Again: Nuclear Reversal Revisited,Journal article,International Security,https://www.belfercenter.org/publication/never-say-never-again-nuclear-reversal-revisited,verified_institutional_summary,official_summary_coded,antecedent;boundary,OA-003;OA-004;OA-009;XR-016
L05-006,L05,George Perkovich and James M. Acton,2009,Abolishing Nuclear Weapons: A Debate,Edited debate volume,Carnegie Endowment for International Peace,https://carnegieendowment.org/research/2009/02/abolishing-nuclear-weapons-a-debate,verified_institutional_summary,official_summary_coded,contradiction;boundary,OA-002;OA-008;OA-009;OA-010
L05-001,L05,Matthew Fuhrmann and Sarah E. Kreps,2010,"Targeting Nuclear Programs in War and Peace: A Quantitative Empirical Analysis, 1941–2000",Journal article,Journal of Conflict Resolution,,bibliographic_seed,metadata_only,contradiction;case,OA-001;OA-002
L05-002,L05,Dan Reiter,2006,Preventive War and Its Alternatives: The Lessons of History,Book,Strategic Studies Institute / US Army War College,,bibliographic_seed,metadata_only,contradiction;boundary,OA-001;OA-002
L06-001,L06,"Jeffrey W. Knopf, ed.",2012,Security Assurances and Nuclear Nonproliferation,Edited book,Stanford University Press,https://www.sup.org/books/politics/security-assurances-and-nuclear-nonproliferation/,verified_official_summary,official_summary_coded,antecedent;support;boundary,OA-003;OA-010
L06-002,L06,Alexander Lanoszka,2018,Atomic Assurance: The Alliance Politics of Nuclear Proliferation,Book,Cornell University Press,https://ecommons.cornell.edu/items/3c0e8e18-734f-4d79-8da8-68da345bfb0f,verified_official_fulltext_metadata,official_summary_coded,contradiction;boundary,OA-003;OA-008;OA-010
L06-005,L06,Alexandre Debs and Nuno P. Monteiro,2016,Nuclear Politics: Loose Allies and Close Allies,Book chapters,Cambridge University Press,https://www.cambridge.org/core/books/nuclear-politics/contents/BF6FB095AFA42917B8C1309C2BA6053E,verified_official_contents,contents_coded,antecedent;boundary,OA-003;OA-008;OA-010
L07-001,L07,International Atomic Energy Agency,1972,The Structure and Content of Agreements Between the Agency and States Required in Connection with the NPT (INFCIRC/153),Legal framework,IAEA,https://www.iaea.org/publications/documents/infcircs/structure-and-content-agreements-between-agency-and-states-required-connection-treaty-non-proliferation-nuclear-weapons,verified_official_document,document_coded,antecedent;boundary,OA-002;OA-005;OA-009;OA-012
L07-002,L07,International Atomic Energy Agency,1997,Model Additional Protocol (INFCIRC/540 Corrected),Legal framework,IAEA,https://www.iaea.org/publications/documents/infcircs/model-protocol-additional-agreements-between-states-and-international-atomic-energy-agency-application-safeguards,verified_official_document,document_coded,antecedent;support,OA-002;OA-005;OA-009
L07-003,L07,"Harold A. Feiveson, Alexander Glaser, Zia Mian, and Frank N. von Hippel",2014,Unmaking the Bomb: A Fissile Material Approach to Nuclear Disarmament and Nonproliferation,Book,MIT Press,https://academic.oup.com/mit-press-scholarship-online/book/29416/chapter/245045352,verified_official_metadata,summary_coded,antecedent;support,OA-001;OA-002;OA-009;OA-010
L08-001,L08,Tim Caughley,2016,Nuclear Disarmament Verification: Survey of Verification Mechanisms,Report,UNIDIR,https://unidir.org/publication/nuclear-disarmament-verification-survey-of-verification-mechanisms/,verified_official_summary,official_summary_coded,antecedent;support,OA-002;OA-005;OA-009;OA-011
L08-002,L08,International Partnership for Nuclear Disarmament Verification,2026,Phase III Summary Report: Addressing Complexities and Building Confidence,Report,IPNDV,https://www.ipndv.org/reports-analysis/phase-iii-summary-report-addressing-complexities-and-building-confidence/,verified_official_summary,official_summary_coded,antecedent;support;boundary,OA-002;OA-005;OA-009;OA-011
L08-003,L08,International Partnership for Nuclear Disarmament Verification,2022,IPNDV Basic Scenario,Scenario specification,IPNDV,https://www.ipndv.org/reports-analysis/ipndv-basic-scenario/,verified_official_summary,official_summary_coded,antecedent;method,OA-011
L09-001,L09,Thomas C. Schelling,2009,A World Without Nuclear Weapons?,Essay,Dædalus / American Academy of Arts and Sciences,https://www.amacad.org/publication/daedalus/world-without-nuclear-weapons,verified_official_summary,essay_coded,antecedent;contradiction,OA-001;OA-009;OA-010
