source_id,institution,title,url,verified,supports,route
SRC-UNIDIR-DV,UNIDIR,Verification Without a Treaty,https://unidir.org/publication/verification-without-a-treaty/,2026-07-26,"Demonstrative verification can use detailed protocols, open data, and independent observers before a treaty exists.","Pavel Podvig, pavel.podvig@un.org; James Revill, james.revill@un.org"
SRC-UNIDIR-PEOPLE,UNIDIR,Current staff pages,https://unidir.org/who-we-are/people/,2026-07-26,Pavel Podvig is a senior WMD researcher; James Revill heads the WMD and Space Security programmes.,pavel.podvig@un.org; james.revill@un.org
SRC-IPNDV,IPNDV,IPNDV current programme and contact,https://www.ipndv.org/,2026-07-26,"Ongoing multilateral work on practical nuclear-disarmament verification, including reductions and verification technologies.",contact@ipndv.org
SRC-VERTIC,VERTIC,Verification and Monitoring Programme,https://www.vertic.org/programmes/vm/,2026-07-26,"Current work includes multilateral nuclear-disarmament verification, safeguards, CTBT verification, compliance, and monitoring.",vertic@vertic.org; programme leads Grant Christopher and Alberto Muti
SRC-ABACC-CONTACT,ABACC,ABACC structure and contact,https://www.abacc.org.br/en/the-abacc/structure/,2026-07-26,Planning and Evaluation develops inspection procedures and safeguards approaches; Institutional Relations coordinates external cooperation.,info@abacc.org.br; lourenco@abacc.org.br; araujo@abacc.org.br; sfmoreno@abacc.org.br
SRC-HCOC,HCoC,Immediate Central Contact,https://www.hcoc.at/what-is-hcoc/how-to-join-hcoc.html,2026-07-26,Austria serves as the Immediate Central Contact for pre-launch notifications and annual declarations.,hcoc@bmeia.gv.at
SRC-NTI,NTI,Global Nuclear Policy and Fail-Safe programmes,https://www.nti.org/about/programs-projects/project/advancing-nuclear-fail-safe/,2026-07-26,"Current work promotes national fail-safe reviews against accidental, mistaken, or unauthorized nuclear use.","Official NTI contact form, addressed to Paul Dean and Global Nuclear Policy Program"
SRC-CTBTO-WGB,CTBTO,Schedule of sessions,https://www.ctbto.org/news-and-events/schedule-of-sessions,2026-07-26,Working Group B meets 25 August through 4 September 2026.,State delegation or National Data Centre route; general CTBTO contact form for routing only
SRC-CTBTO-NDC,CTBTO,"Regional NDC workshop, 3-7 August 2026",https://www.ctbto.org/node/9368,2026-07-26,The workshop exercises the full event-characterization workflow from initial alert through national reporting and data fusion.,Participating National Data Centres and state delegations
SRC-IAEA-SYM,IAEA,2026 Safeguards Symposium,https://conferences.iaea.org/event/470/,2026-07-26,"The symposium is 9-13 November 2026; its programme emphasizes innovation, resilience, convergence, data integration, and partnerships. The abstract deadline has closed.",Safeguards2026@iaea.org for organizer routing; formal participation through established channels
SRC-IAEA-GC,IAEA,Vienna meeting calendar,https://www.unov.org/unov/en/meeting-calendar.html,2026-07-26,The 70th IAEA General Conference is 14-18 September 2026.,Member-state missions in Vienna
SRC-UN-FIRST,United Nations,2026 meeting calendar,https://www.un.org/calendar/en/year,2026-07-26,The 81st First Committee is tentatively scheduled for 1 October through 6 November 2026.,Sponsoring state delegation
SRC-TPNW,UNODA,First TPNW Review Conference,https://meetings.unoda.org/-revcon/treaty-on-the-prohibition-of-nuclear-weapons-first-review-conference-2026,2026-07-26,The conference is 30 November through 4 December 2026; South Africa is president.,South African presidency and sponsoring state missions
